       IVS Analysis Report for R11028 ($21DEC06XA)
       This report is the official IVS analysis report that corresponds to
       the database maintained by the IVS Data Centers for this session.
   (Analyzed by Sergei Bolotin, NVI, Inc. / NASA Goddard Space Flight Center.
    Spoolfile source: interactive solve/nuSolve analysis.)

Problems: AGGO     Diskpack failure (15:04-16:52), cannot access the data any more. Hence,
                   data transfer was not possible. Correlated without the station.
          ISHIOKA  Power failure (16:46-16:58) but log looks good.
          KOKEE    Resync gps at 18:03. Power flicker (04:48).
          NYALES20 Off-source due to wind gusts up to 17 m/s.
          NYALE13S Phasecal not available
          RAEGSMAR Late start at 18:18.
          SESHAN25 Other commitment (02:48-06:40). Antenna stuck (16:07-17:00).

Parameterization comments: None.

Other comments: The second submission with fixed subambiguities in S-band.

-----------------------------------------

Session statistics

  Observations:    13281 scheduled
                   12026 correlated (in database)
                   10911 recoverable (usable)
                   10767 used
  Session fit:        34.501 ps

-----------------------------------------

Station Performance

                           Number of Observations

                    Scheduled   Recoverable*        Used   % of scheduled
                                                              obs used

  AGGO                    747      NOT CORR     NOT CORR         0.0%
  AGGO-SVETLOE                  16      NOT CORR      NOT CORR         0.0%
  AGGO-WETTZELL                 76      NOT CORR      NOT CORR         0.0%
  AGGO-ZELENCHK                 43      NOT CORR      NOT CORR         0.0%
  BADARY-HART15M                55            52            52        94.5%
  BADARY-ISHIOKA               279           273           265        95.0%
  BADARY-KOKEE                 143           139           138        96.5%
  BADARY-MATERA                183           170           167        91.3%
  BADARY-NYALE13S              169           167           166        98.2%
  BADARY-NYALES20              260           236           236        90.8%
  BADARY-RAEGSMAR              133           122           121        91.0%
  BADARY-SEJONG                189           185           184        97.4%
  BADARY-SESHAN25              327           253           251        76.8%
  BADARY-SVETLOE               182           182           176        96.7%
  BADARY-WETTZELL              207           206           204        98.6%
  BADARY-ZELENCHK              285           278           278        97.5%
  HART15M-ISHIOKA               34            27            27        79.4%
  HART15M-KOKEE                  0       NO DATA       NO DATA         0.0%
  HART15M-MATERA               131           108           108        82.4%
  HART15M-NYALE13S              34            30            30        88.2%
  HART15M-NYALES20              56            27            27        48.2%
  HART15M-RAEGSMAR             163           140           133        81.6%
  HART15M-SEJONG                47            37            36        76.6%
  HART15M-SESHAN25              56            32            32        57.1%
  HART15M-SVETLOE               42            39            39        92.9%
  HART15M-WETTZELL             126           118           118        93.7%
  HART15M-ZELENCHK             106            99            99        93.4%
  ISHIOKA-KOKEE                252           236           221        87.7%
  ISHIOKA-MATERA               148           117           117        79.1%
  ISHIOKA-NYALE13S             130           128           126        96.9%
  ISHIOKA-NYALES20             226           144           144        63.7%
  ISHIOKA-RAEGSMAR             109            98            97        89.0%
  ISHIOKA-SEJONG               282           268           267        94.7%
  ISHIOKA-SESHAN25             413           328           322        78.0%
  ISHIOKA-SVETLOE              129           126           124        96.1%
  ISHIOKA-WETTZELL             162           159           158        97.5%
  ISHIOKA-ZELENCHK             161           149           148        91.9%
  KOKEE-MATERA                  76            60            59        77.6%
  KOKEE-NYALE13S               119           116           116        97.5%
  KOKEE-NYALES20               150            74            74        49.3%
  KOKEE-RAEGSMAR               104            90            86        82.7%
  KOKEE-SEJONG                 139           133           131        94.2%
  KOKEE-SESHAN25               181           137           136        75.1%
  KOKEE-SVETLOE                 72            68            67        93.1%
  KOKEE-WETTZELL                89            86            85        95.5%
  KOKEE-ZELENCHK                71            63            63        88.7%
  MATERA-NYALE13S              119            96            96        80.7%
  MATERA-NYALES20              248           169           169        68.1%
  MATERA-RAEGSMAR              276           230           228        82.6%
  MATERA-SEJONG                 98            49            49        50.0%
  MATERA-SESHAN25              154            92            92        59.7%
  MATERA-SVETLOE               133           127           121        91.0%
  MATERA-WETTZELL              330           306           302        91.5%
  MATERA-ZELENCHK              269           233           232        86.2%
  NYALE13S-NYALES20            221           209           205        92.8%
  NYALE13S-RAEGSMAR            111           106           106        95.5%
  NYALE13S-SEJONG               78            73            73        93.6%
  NYALE13S-SESHAN25            109            88            88        80.7%
  NYALE13S-SVETLOE             158           158           152        96.2%
  NYALE13S-WETTZELL            131           131           131       100.0%
  NYALE13S-ZELENCHK            147           138           135        91.8%
  NYALES20-RAEGSMAR            233           187           187        80.3%
  NYALES20-SEJONG              117            96            96        82.1%
  NYALES20-SESHAN25            216           143           142        65.7%
  NYALES20-SVETLOE             188           154           149        79.3%
  NYALES20-WETTZELL            289           272           269        93.1%
  NYALES20-ZELENCHK            257           229           228        88.7%
  RAEGSMAR-SEJONG               61            48            48        78.7%
  RAEGSMAR-SESHAN25            100            78            78        78.0%
  RAEGSMAR-SVETLOE              92            84            81        88.0%
  RAEGSMAR-WETTZELL            271           254           250        92.3%
  RAEGSMAR-ZELENCHK            192           173           172        89.6%
  SEJONG-SESHAN25              304           219           216        71.1%
  SEJONG-SVETLOE                76            73            70        92.1%
  SEJONG-WETTZELL               99            97            96        97.0%
  SEJONG-ZELENCHK              123           106           105        85.4%
  SESHAN25-SVETLOE             129           106           103        79.8%
  SESHAN25-WETTZELL            171           131           127        74.3%
  SESHAN25-ZELENCHK            187           138           137        73.3%
  SVETLOE-WETTZELL             150           150           143        95.3%
  SVETLOE-ZELENCHK             188           185           181        96.3%
  WETTZELL-ZELENCHK            289           283           282        97.6%
  -----------------      ---------   -----------    ----------       ------
  Baseline Total             13281         10911         10767        81.1%

  * Recoverable: can be included in the solution.

  MISSED:     Baseline was scheduled, but at least one of the sites
              did not observe.
  NOT CORR:   Baseline was scheduled but not correlated.
  NO DATA:    The baseline's stations were both correlated,
              but they did not observe together.
  DESELECTED: Usable data was generated for the baseline,
              but the analyst rejected it.

