       IVS Analysis Report for R11028 ($21DEC06XA)
       This report is the official IVS analysis report that corresponds to
       the database maintained by the IVS Data Centers for this session.
   (Analyzed by Sergei Bolotin, NVI, Inc. / NASA Goddard Space Flight Center.
    Spoolfile source: interactive solve/nuSolve analysis.)

Problems: AGGO     Diskpack failure (15:04-16:52), cannot access the data any more. Hence,
                   data transfer was not possible. Correlated without the station.
          ISHIOKA  Power failure (16:46-16:58) but log looks good.
          KOKEE    Resync gps at 18:03. Power flicker (04:48).
          NYALES20 Off-source due to wind gusts up to 17 m/s.
          NYALE13S Phasecal not available
          RAEGSMAR Late start at 18:18.
          SESHAN25 Other commitment (02:48-06:40). Antenna stuck (16:07-17:00).
          S-band has subambigities at RAEGSMAR baselines, a new version will bre released.

Parameterization comments: None.

Other comments: None.

-----------------------------------------

Session statistics

  Observations:    13281 scheduled
                   12026 correlated (in database)
                   10917 recoverable (usable)
                   10355 used
  Session fit:        34.397 ps

-----------------------------------------

Station Performance

                           Number of Observations

                    Scheduled   Recoverable*        Used   % of scheduled
                                                              obs used

  AGGO                    747      NOT CORR     NOT CORR         0.0%
  2013+163              7           7        5           71.4%
  0131-522             22           1        1            4.5%
  0202+319            397         356      310           78.1%
  NRAO150              36          35       35           97.2%
  1030+415            135         135      112           83.0%
  1243-072             11          10        5           45.5%
  1849+670            857         823      725           84.6%
  2254+074              9           6        4           44.4%
  ------------  ---------  ----------   ------          ------
  Source Total      13281       12026    10355           78.0%

 * Correlated: included in database

-----------------------------------------

Baseline Performance

                                 Number of Observations

                         Scheduled   Recoverable*         Used   % of scheduled
                                                                    obs used

  AGGO-BADARY                    0       NO DATA       NO DATA         0.0%
  AGGO-HART15M                 273      NOT CORR      NOT CORR         0.0%
  AGGO-ISHIOKA                   0       NO DATA       NO DATA         0.0%
  AGGO-KOKEE                    84      NOT CORR      NOT CORR         0.0%
  AGGO-MATERA                   68      NOT CORR      NOT CORR         0.0%
  AGGO-NYALE13S                  5      NOT CORR      NOT CORR         0.0%
  AGGO-NYALES20                 30      NOT CORR      NOT CORR         0.0%
  AGGO-RAEGSMAR                152      NOT CORR      NOT CORR         0.0%
  AGGO-SEJONG                    0       NO DATA       NO DATA         0.0%
  AGGO-SESHAN25                  0       NO DATA       NO DATA         0.0%
  AGGO-SVETLOE                  16      NOT CORR      NOT CORR         0.0%
  AGGO-WETTZELL                 76      NOT CORR      NOT CORR         0.0%
  AGGO-ZELENCHK                 43      NOT CORR      NOT CORR         0.0%
  BADARY-HART15M                55            52            51        92.7%
  BADARY-ISHIOKA               279           273           266        95.3%
  BADARY-KOKEE                 143           139           138        96.5%
  BADARY-MATERA                183           170           167        91.3%
  BADARY-NYALE13S              169           167           166        98.2%
  BADARY-NYALES20              260           236           236        90.8%
  BADARY-RAEGSMAR              133           122            89        66.9%
  BADARY-SEJONG                189           185           184        97.4%
  BADARY-SESHAN25              327           253           251        76.8%
  BADARY-SVETLOE               182           182           176        96.7%
  BADARY-WETTZELL              207           206           203        98.1%
  BADARY-ZELENCHK              285           278           277        97.2%
  HART15M-ISHIOKA               34            27            27        79.4%
  HART15M-KOKEE                  0       NO DATA       NO DATA         0.0%
  HART15M-MATERA               131           108           104        79.4%
  HART15M-NYALE13S              34            30            30        88.2%
  HART15M-NYALES20              56            27            27        48.2%
  HART15M-RAEGSMAR             163           141           108        66.3%
  HART15M-SEJONG                47            37            37        78.7%
  HART15M-SESHAN25              56            32            32        57.1%
  HART15M-SVETLOE               42            39            39        92.9%
  HART15M-WETTZELL             126           119           115        91.3%
  HART15M-ZELENCHK             106            99            98        92.5%
  ISHIOKA-KOKEE                252           238           224        88.9%
  ISHIOKA-MATERA               148           117           117        79.1%
  ISHIOKA-NYALE13S             130           128           127        97.7%
  ISHIOKA-NYALES20             226           144           144        63.7%
  ISHIOKA-RAEGSMAR             109            98            73        67.0%
  ISHIOKA-SEJONG               282           268           267        94.7%
  ISHIOKA-SESHAN25             413           328           322        78.0%
  ISHIOKA-SVETLOE              129           126           124        96.1%
  ISHIOKA-WETTZELL             162           159           158        97.5%
  ISHIOKA-ZELENCHK             161           149           147        91.3%
  KOKEE-MATERA                  76            60            59        77.6%
  KOKEE-NYALE13S               119           116           116        97.5%
  KOKEE-NYALES20               150            74            74        49.3%
  KOKEE-RAEGSMAR               104            91            57        54.8%
  KOKEE-SEJONG                 139           134           132        95.0%
  KOKEE-SESHAN25               181           137           136        75.1%
  KOKEE-SVETLOE                 72            68            67        93.1%
  KOKEE-WETTZELL                89            86            85        95.5%
  KOKEE-ZELENCHK                71            63            62        87.3%
  MATERA-NYALE13S              119            96            93        78.2%
  MATERA-NYALES20              248           169           168        67.7%
  MATERA-RAEGSMAR              276           230           153        55.4%
  MATERA-SEJONG                 98            49            49        50.0%
  MATERA-SESHAN25              154            92            92        59.7%
  MATERA-SVETLOE               133           127           121        91.0%
  MATERA-WETTZELL              330           306           303        91.8%
  MATERA-ZELENCHK              269           233           227        84.4%
  NYALE13S-NYALES20            221           209           204        92.3%
  NYALE13S-RAEGSMAR            111           106            81        73.0%
  NYALE13S-SEJONG               78            73            73        93.6%
  NYALE13S-SESHAN25            109            88            88        80.7%
  NYALE13S-SVETLOE             158           158           152        96.2%
  NYALE13S-WETTZELL            131           131           131       100.0%
  NYALE13S-ZELENCHK            147           138           134        91.2%
  NYALES20-RAEGSMAR            233           187           146        62.7%
  NYALES20-SEJONG              117            96            96        82.1%
  NYALES20-SESHAN25            216           143           142        65.7%
  NYALES20-SVETLOE             188           154           151        80.3%
  NYALES20-WETTZELL            289           272           268        92.7%
  NYALES20-ZELENCHK            257           229           227        88.3%
  RAEGSMAR-SEJONG               61            48            48        78.7%
  RAEGSMAR-SESHAN25            100            78            52        52.0%
  RAEGSMAR-SVETLOE              92            84            63        68.5%
  RAEGSMAR-WETTZELL            271           254           187        69.0%
  RAEGSMAR-ZELENCHK            192           173           133        69.3%
  SEJONG-SESHAN25              304           219           216        71.1%
  SEJONG-SVETLOE                76            73            71        93.4%
  SEJONG-WETTZELL               99            97            97        98.0%
  SEJONG-ZELENCHK              123           106           105        85.4%
  SESHAN25-SVETLOE             129           106           103        79.8%
  SESHAN25-WETTZELL            171           131           127        74.3%
  SESHAN25-ZELENCHK            187           138           137        73.3%
  SVETLOE-WETTZELL             150           150           143        95.3%
  SVETLOE-ZELENCHK             188           185           181        96.3%
  WETTZELL-ZELENCHK            289           283           281        97.2%
  -----------------      ---------   -----------    ----------       ------
  Baseline Total             13281         10917         10355        78.0%

  * Recoverable: can be included in the solution.

  MISSED:     Baseline was scheduled, but at least one of the sites
              did not observe.
  NOT CORR:   Baseline was scheduled but not correlated.
  NO DATA:    The baseline's stations were both correlated,
              but they did not observe together.
  DESELECTED: Usable data was generated for the baseline,
              but the analyst rejected it.

